Datasource:,https://walmart-open-data-walmarttech.opendata.arcgis.com/maps/walmarttech::walmart-store-status-web-map/about,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OID_,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
16649,CLACKAMAS OR,5440,Wal-Mart,Retail,1,10000 SE 82ND AVE,HAPPY VALLEY,CLACKAMAS,OR,97086-2304,2,Open,,Y,Y,5440,No,,Yes,
16650,"TOPEKA (N), KS",5441,WM Supercenter,Retail,1,2600 NW ROCHESTER RD,TOPEKA,SHAWNEE,KS,66617-1270,2,Open,,Y,Y,5441,No,Available,No,Available
16651,ADDISON IL,5442,WM Supercenter,Retail,1,1050 N ROHLWING RD,ADDISON,DUPAGE,IL,60101-1034,5,Open,,Y,Y,5442,No,Available,No,Available
16652,"INDIANAPOLIS(EMRSN), IN",5443,WM Supercenter,Retail,1,4650 S EMERSON AVE,INDIANAPOLIS,MARION,IN,46203-5932,2,Open,,Y,Y,5443,No,Available,No,Available
16653,IRONWOOD MI,5444,WM Supercenter,Retail,1,10305 COUNTRY CLUB ROAD,IRONWOOD,GOGEBIC,MI,49938-9627,2,Open,,Y,Y,5444,No,,Yes,Available
16654,ERIE C PA,5445,WM Supercenter,Retail,1,2711 ELM ST,ERIE,ERIE,PA,16504-2935,2,Open,,Y,Y,5445,No,,Yes,Available
16655,WAYNESBURG PA,5446,WM Supercenter,Retail,1,405 MURTHA DR,WAYNESBURG,GREENE,PA,15370-7010,2,Open,,Y,Y,5446,No,,No,Available
16656,KEARNY NJ,5447,WM Supercenter,Retail,1,150 HARRISON AVE,KEARNY,HUDSON,NJ,07032-5950,5,Open,,Y,Y,5447,No,Available,Yes,Available
16657,"RAYNHAM (N), MA",5448,WM Supercenter,Retail,1,160 BROADWAY,RAYNHAM,BRISTOL,MA,02767-1414,2,Open,,Y,Y,5448,No,Available,Yes,
16658,"MISSOURI CITY (SIEN), TX",5449,WM Supercenter,Retail,1,9929 HWY 6,MISSOURI CITY,FORT BEND,TX,77459-4149,2,Open,,Y,Y,5449,No,Available,Yes,Available
16659,MANCHESTER KY,545,Wal-Mart,Retail,1,240 MANCHESTER SQUARE SHPG CTR,MANCHESTER,CLAY,KY,40962-8700,2,Open,,Y,Y,545,No,,Yes,
16660,"NORTH EAST, MD",5450,WM Supercenter,Retail,1,75 NORTH EAST PLZ,NORTH EAST,CECIL,MD,21901-3617,5,Open,,Y,Y,5450,No,Available,No,Available
16661,"FORT MYERS-CAPE CORAL,FL",5451,Neighborhood Market,Retail,1,3920 SKYLINE BLVD,CAPE CORAL,LEE,FL,33914-5835,2,Open,,Y,Y,5451,No,,Yes,
16662,"EVANSVILLE, IN",5452,Neighborhood Market,Retail,1,2500 N. FIRST AVENUE,EVANSVILLE,VANDERBURGH,IN,47710-0000,2,Open,,Y,Y,5452,No,Not Available,No,Not Available
16663,"CAPE CORAL (N), FL",5453,Neighborhood Market,Retail,1,505 SW PINE ISLAND RD,CAPE CORAL,LEE,FL,33991-1962,2,Open,,Y,Y,5453,Yes,Available,Yes,Available
16665,"PALM BAY, FL",5455,WM Supercenter,Retail,1,1040 MALABAR RD SE,PALM BAY,BREVARD,FL,32907-3251,2,Open,,Y,Y,5455,No,Available,Yes,Available
16668,DELTA CO,5458,WM Supercenter,Retail,1,37 STAFFORD LN,DELTA,DELTA,CO,81416-3465,2,Open,,Y,Y,5458,No,,No,Available
16669,STARKVILLE MS,5459,Neighborhood Market,Retail,1,105 MARKET STREET,STARKVILLE,OKTIBBEHA,MS,39759-0000,2,Open,,Y,Y,5459,No,,Yes,Available
16670,"RICHMOND, TX",546,WM Supercenter,Retail,1,5330 FM1640,RICHMOND,FORT BEND,TX,77469-5435,5,Open,,Y,Y,546,No,Available,No,Available
16671,PORTLAND TX,5460,WM Supercenter,Retail,1,2000 US HIGHWAY 181,PORTLAND,SAN PATRICIO,TX,78374-4172,2,Open,,Y,Y,5460,No,,Yes,Available
16672,VANCOUVER (NE) WA,5461,WM Supercenter,Retail,1,14505 NE FOURTH PLAIN BLVD,VANCOUVER,CLARK,WA,98682-5003,2,Open,,Y,Y,5461,No,,No,Available
16673,VANCOUVER (SE) WA,5462,WM Supercenter,Retail,1,430 SE 192ND AVE,VANCOUVER,CLARK,WA,98683-9531,2,Open,,Y,Y,5462,No,Available,Yes,Available
16674,"HARTFORD, WI",5463,WM Supercenter,Retail,1,1220 THEIL ST,HARTFORD,WASHINGTON,WI,53027-1448,2,Open,,Y,Y,5463,No,,No,Available
16675,THIBODAUX S LA,5464,Neighborhood Market,Retail,1,224 W MAIN ST,THIBODAUX,TERREBONNE,LA,70301-5426,2,Open,,Y,Y,5464,No,Not Available,Yes,Not Available
16677,GROVE CITY OH,5466,WM Supercenter,Retail,1,1693 STRINGTOWN RD,GROVE CITY,FRANKLIN,OH,43123-8265,2,Open,,Y,Y,5466,No,Available,No,Available
16678,MORRISTOWN BUFFALO TRAIL TN,5467,Neighborhood Market,Retail,1,1997 BUFFALO TRAIL,MORRISTOWN,HAMBLEN,TN,37814-0000,2,Open,,Y,Y,5467,No,,No,
16680,HANOVER (S) PA,5469,WM Supercenter,Retail,1,1881 BALTIMORE PIKE,HANOVER,YORK,PA,17331-9605,2,Open,,Y,Y,5469,No,Available,No,Available
16681,"PLANT CITY, FL",547,WM Supercenter,Retail,1,2602 JAMES L REDMAN PKWY,PLANT CITY,HILLSBOROUGH,FL,33566-9460,5,Open,,Y,Y,547,No,Not Available,No,Available
16682,HUNTINGDON PA,5470,WM Supercenter,Retail,1,6716 TOWNE CENTER BLVD,HUNTINGDON,HUNTINGDON,PA,16652-6933,2,Open,,Y,Y,5470,No,,Yes,
16683,MANSFIELD (S) OH,5471,WM Supercenter,Retail,1,2485 POSSUM RUN RD,MANSFIELD,RICHLAND,OH,44903-9447,2,Open,,Y,Y,5471,No,,No,Available
16684,SALINE MI,5472,WM Supercenter,Retail,1,7000 E MICHIGAN AVE,SALINE,WASHTENAW,MI,48176-9514,2,Open,,Y,Y,5472,No,Not Available,No,Not Available
16688,DEPTFORD (WEST) NJ,5476,WM Supercenter,Retail,1,820 COOPER ST,WOODBURY,GLOUCESTER,NJ,08096-2598,2,Open,,Y,Y,5476,No,Available,No,Available
16689,JEFFERSON CITY E MO,5477,WM Supercenter,Retail,1,401 SUPERCENTER DR,JEFFERSON CITY,COLE,MO,65101-8190,2,Open,,Y,Y,5477,No,,Yes,Available
16691,"PFLUGERVILLE, TX",5479,WM Supercenter,Retail,1,1548 FM 685,PFLUGERVILLE,TRAVIS,TX,78660-3576,2,Open,,Y,Y,5479,No,Available,No,Available
16692,LAWRENCEVILLE GA,548,WM Supercenter,Retail,1,630 COLLINS HILL RD,LAWRENCEVILLE,GWINNETT,GA,30046-4461,5,Open,,Y,Y,548,No,Available,Yes,Available
16693,ROUND ROCK (NE) TX,5480,WM Supercenter,Retail,1,4700 E PALM VALLEY BLVD,ROUND ROCK,WILLIAMSON,TX,78665-2580,2,Open,,Y,Y,5480,Yes,Available,Yes,Available
16694,"CHARLOTTE, NC",5481,WM Supercenter,Retail,1,9820 CALLABRIDGE CT,CHARLOTTE,MECKLENBURG,NC,28216-7669,2,Open,,Y,Y,5481,No,Not Available,Yes,Not Available
16695,"EATONTON, GA",5482,WM Supercenter,Retail,1,201 WALMART DR,EATONTON,PUTNAM,GA,31024-6761,2,Open,,Y,Y,5482,No,Available,Yes,Available
16696,GREENWOOD IN,5483,WM Supercenter,Retail,1,882 S. STATE ROAD 135,GREENWOOD,JOHNSON,IN,46143-0000,2,Open,,Y,Y,5483,Yes,Available,Yes,Available
16698,"EVERGREEN PARK, IL",5485,WM Supercenter,Retail,1,2500 W 95TH ST,EVERGREEN PARK,COOK,IL,60805-2807,5,Open,,Y,Y,5485,No,,No,
16699,"COUNTRY CLUB HILLS, IL",5486,WM Supercenter,Retail,1,4005 167TH ST,COUNTRY CLUB HILLS,COOK,IL,60478-2071,2,Open,,Y,Y,5486,No,,No,
16700,"TRAVELERS REST, SC",5487,WM Supercenter,Retail,1,9 BENTON RD,TRAVELERS REST,GREENVILLE,SC,29690-2168,2,Open,,Y,Y,5487,No,Available,Yes,Available
16701,"NORFOLK (N), VA",5488,WM Supercenter,Retail,1,7530 TIDEWATER DR,NORFOLK,NORFOLK CITY,VA,23505-3703,2,Open,,Y,Y,5488,No,Available,No,Available
16702,"PEMBROKE,NC",5489,WM Supercenter,Retail,1,930 HIGHWAY 711 EAST,PEMBROKE,ROBESON,NC,28372-0000,2,Open,,Y,Y,5489,No,,No,
16703,HOBBS NM,549,WM Supercenter,Retail,1,3800 N LOVINGTON HWY,HOBBS,LEA,NM,88240-1033,5,Open,,Y,Y,549,No,,Yes,Available
16704,SAN ANTONIO SHAENFIELD TX,5490,Neighborhood Market,Retail,1,9005 FM 1560 N,SAN ANTONIO,BEXAR,TX,78254-0000,2,Open,,Y,Y,5490,No,,No,Available
16705,"ALBUQUERQUE (EC), NM",5491,WM Supercenter,Retail,1,2266 WYOMING BLVD NE,ALBUQUERQUE,BERNALILLO,NM,87112-2620,2,Open,,Y,Y,5491,No,Not Available,Yes,Not Available
16706,"SOCORRO, NM",5492,WM Supercenter,Retail,1,700 6TH ST N,SOCORRO,SOCORRO,NM,87801-4242,2,Open,,Y,Y,5492,No,Not Available,No,Not Available
16708,"IDAHO FALLS (W), ID",5494,WM Supercenter,Retail,1,500 S UTAH AVE,IDAHO FALLS,BONNEVILLE,ID,83402-3305,2,Open,,Y,Y,5494,No,Not Available,No,Not Available
16709,"GLENOLDEN, PA",5495,Wal-Mart,Retail,1,50 N MACDADE BLVD,GLENOLDEN,PHILADELPHIA,PA,19036-1223,2,Open,,Y,Y,5495,No,Available,No,Available
16711,"LERAY, NY",5497,WM Supercenter,Retail,1,25737 US ROUTE #11,EVANS MILLS,JEFFERSON,NY,13637-3221,2,Open,,Y,Y,5497,No,,No,Available
16712,"LOWVILLE, NY",5498,WM Supercenter,Retail,1,7155 E STATE ST # 12SOUTH,LOWVILLE,LEWIS,NY,13367-0000,2,Open,,Y,Y,5498,No,,No,
16713,"MILFORD, OH",5499,WM Supercenter,Retail,1,201 CHAMBER DR,MILFORD,CLERMONT,OH,45150-2516,2,Open,,Y,Y,5499,No,Available,No,Available
16714,BOONEVILLE AR,55,WM Supercenter,Retail,1,1400 EAST MAIN ST,BOONEVILLE,LOGAN,AR,72927-4921,5,Open,,Y,Y,55,No,,No,
16715,LAWRENCEVILLE IL,550,WM Supercenter,Retail,1,2610 W HAVEN RD,LAWRENCEVILLE,LAWRENCE,IL,62439-3345,5,Open,,Y,Y,550,No,,No,
16716,PALATKA FL,551,WM Supercenter,Retail,1,1024 S STATE ROAD 19,PALATKA,PUTNAM,FL,32177-9000,5,Open,,Y,Y,551,No,,Yes,Available
16717,WHITESBURG KY,552,Wal-Mart,Retail,1,350 WHITESBURG PLAZA,WHITESBURG,LETCHER,KY,41858-7502,5,Open,,Y,Y,552,No,,Yes,
16718,SLIDELL LA,553,WM Supercenter,Retail,1,39142 NATCHEZ DR,SLIDELL,ST. TAMMANY PARISH,LA,70461-2142,5,Open,,Y,Y,553,No,Available,Yes,Available
16720,LAREDO TX,554,Wal-Mart,Retail,1,5610 SAN BERNARDO AVE,LAREDO,WEBB,TX,78041-3009,5,Open,,Y,Y,554,No,,No,
16721,DUBLIN GA,555,WM Supercenter,Retail,1,2423 US HIGHWAY 80 W,DUBLIN,LAURENS,GA,31021-0930,5,Open,,Y,Y,555,No,,Yes,Available
16722,WAYCROSS GA,556,WM Supercenter,Retail,1,2425 MEMORIAL DR,WAYCROSS,WARE,GA,31503-6337,5,Open,,Y,Y,556,No,,No,Available
16723,EMPORIA KS,557,WM Supercenter,Retail,1,2301 INDUSTRIAL RD,EMPORIA,LYON,KS,66801-6656,5,Open,,Y,Y,557,No,,No,Available
16724,SALINA KS,558,WM Supercenter,Retail,1,2900 S 9TH ST,SALINA,SALINE,KS,67401-7879,5,Open,,Y,Y,558,No,,Yes,Not Available
16725,MUSCATINE IA,559,WM Supercenter,Retail,1,3003 N HIGHWAY 61,MUSCATINE,MUSCATINE,IA,52761-5811,5,Open,,Y,Y,559,No,,No,Available
16726,AVA MO,56,WM Supercenter,Retail,1,1309 NW 12TH AVE,AVA,DOUGLAS,MO,65608-0000,5,Open,,Y,Y,56,No,,No,
16727,ST JOSEPH MO,560,WM Supercenter,Retail,1,4201 N BELT HWY,SAINT JOSEPH,BUCHANAN,MO,64506-1299,5,Open,,Y,Y,560,No,Available,Yes,Available
16728,RANCHO SANTA MARGARITA CA,5600,Neighborhood Market,Retail,1,30491 AVENIDA DE LAS FLORES,RANCHO SANTA MARGARITA,ORANGE,CA,92688-3923,2,Open,,Y,Y,5600,No,,No,
16729,HUNTINGTON BEACH CA,5601,Neighborhood Market,Retail,1,21132 BEACH BLVD,HUNTINGTON BEACH,ORANGE,CA,92648-5404,2,Open,,Y,Y,5601,No,Available,Yes,Available
16730,CARSON CA,5602,Neighborhood Market,Retail,1,20226 AVALON BLVD.,CARSON,LOS ANGELES,CA,90746-0000,2,Open,,Y,Y,5602,No,,No,
16731,DOWNEY CA,5603,Neighborhood Market,Retail,1,12270 PARAMOUNT BLVD,DOWNEY,LOS ANGELES,CA,90242-3549,2,Open,,Y,Y,5603,No,,No,
16732,HAWTHORNE CA,5604,Neighborhood Market,Retail,1,14441 INGLEWOOD AVE,HAWTHORNE,LOS ANGELES,CA,90250-6715,2,Open,,Y,Y,5604,No,,No,
16733,PANORAMA CITY CA,5605,Neighborhood Market,Retail,1,14530 NORDHOFF ST,PANORAMA CITY,LOS ANGELES,CA,91402-1811,2,Open,,Y,Y,5605,No,,No,
16734,PANORAMA CITY CA,5605,Neighborhood Market,Retail,1,14530 NORDHOFF ST,PANORAMA CITY,LOS ANGELES,CA,91402-1811,2,Open,,Y,Y,5605,Yes,,Yes,
16735,WOODLAND E CA,5606,Neighborhood Market,Retail,1,1250 E GIBSON ROAD,WOODLAND,YOLO,CA,95776-0000,2,Open,,Y,Y,5606,No,,No,Available
16737,VACAVILLE ALAMO CA,5608,Neighborhood Market,Retail,1,941 ALAMO DR.,VACAVILLE,SOLANO,CA,95687-5601,2,Open,,Y,Y,5608,No,,No,Available
16738,VALLEJO SERENO CA,5609,Neighborhood Market,Retail,1,501 SERENO DR,VALLEJO,SOLANO,CA,94589-2460,2,Open,,Y,Y,5609,No,,No,Not Available
16739,EASTLAND TX,561,WM Supercenter,Retail,1,1410 E MAIN ST,EASTLAND,EASTLAND,TX,76448-3023,5,Open,,Y,Y,561,No,,No,Available
16740,SAN RAMON ALCOSTA CA,5610,Neighborhood Market,Retail,1,9100 ALCOSTA BLVD,SAN RAMON,CONTRA COSTA,CA,94583-3857,2,Open,,Y,Y,5610,No,Available,No,Available
16741,PLEASANTON S RITA CA,5611,Neighborhood Market,Retail,1,3112 SANTA RITA RD.,PLEASANTON,ALAMEDA,CA,94566-8300,2,Open,,Y,Y,5611,No,,No,
16742,HOUSTON I-45 AND WAYSIDE TX,5612,WM Supercenter,Retail,1,2391 S WAYSIDE DR,HOUSTON,HARRIS,TX,77023-0000,2,Open,,Y,Y,5612,No,Not Available,No,Not Available
16743,ARLINGTON N TX,5613,Neighborhood Market,Retail,1,2121 N COLLINS ST,ARLINGTON,TARRANT,TX,76011-2878,2,Open,,Y,Y,5613,No,Available,No,Available
16744,COLLEYVILLE TX,5614,Neighborhood Market,Retail,1,4904 COLLEYVILLE BLVD,COLLEYVILLE,TARRANT,TX,76034-0000,2,Open,,Y,Y,5614,No,,No,Not Available
16745,HIALEAH GARDENS FL,5615,Neighborhood Market,Retail,1,11800 HIALEAH GARDENS BLVD,HIALEAH GARDENS,MIAMI-DADE,FL,33018-0000,2,Open,,Y,Y,5615,No,,Yes,Available
16746,NASHVILLE TN,5616,WM Supercenter,Retail,1,2421 POWELL AVE,NASHVILLE,DAVIDSON,TN,37204-4653,2,Open,,Y,Y,5616,No,Available,Yes,Available
16747,CHICAGO HERMOSA IL,5617,WM Supercenter,Retail,1,4626 W DIVERSEY AVE,CHICAGO,COOK,IL,60639-1829,2,Open,,Y,Y,5617,No,,No,
16750,LEEDS AL,562,WM Supercenter,Retail,1,8551 WHITFIELD AVE,LEEDS,ST. CLAIR,AL,35094-7560,5,Open,,Y,Y,562,No,Available,Yes,Available
16753,BRANDON FL,5622,Neighborhood Market,Retail,1,10863 BLOOMINGDALE AVE,RIVERVIEW,HILLSBOROUGH,FL,33578-3616,2,Open,,Y,Y,5622,No,,No,Available
16754,GULF BREEZE FL,5623,Neighborhood Market,Retail,1,334 GULF BREEZE PKWY,GULF BREEZE,ESCAMBIA,FL,32561-4492,2,Open,,Y,Y,5623,No,,No,Available
16755,FARMERS BRANCH TX,5624,Neighborhood Market,Retail,1,13100 JOSEY LN,FARMERS BRANCH,DALLAS,TX,75234-6351,2,Open,,Y,Y,5624,No,,No,Available
16756,BROOKLYN CENTER MN,5625,WM Supercenter,Retail,1,1200 SHINGLE CREEK CROSSING,BROOKLYN CENTER,HENNEPIN,MN,55430-0000,2,Open,,Y,Y,5625,No,Not Available,Yes,Not Available
16757,TUCSON BRIDGES AZ,5626,WM Supercenter,Retail,1,1260 EAST TUCSON MARKETPLACE BLVD,TUCSON,PIMA,AZ,85713-0000,2,Open,,Y,Y,5626,No,Available,Yes,Available
16758,GRESHAM 181ST OR,5627,Neighborhood Market,Retail,1,3900 W POWELL BLVD,GRESHAM,MULTNOMAH,OR,97030-0000,2,Open,,Y,Y,5627,No,,No,
16759,MONROE WA,5628,WM Supercenter,Retail,1,19191 N KELSEY STREET,MONROE,SNOHOMISH,WA,98272-0000,2,Open,,Y,Y,5628,No,,Yes,Available
16760,EUREKA CA,5629,Wal-Mart,Retail,1,3300 BROADWAY BAYSHORE MALL,EUREKA,HUMBOLDT,CA,95501-0000,2,Open,,Y,Y,5629,No,,No,
16761,ORANGE CITY FL,563,WM Supercenter,Retail,1,2400 VETERANS MEMORIAL PKWY,ORANGE CITY,VOLUSIA,FL,32763-1700,5,Open,,Y,Y,563,No,Available,Yes,Available
16764,FRESNO BLACKSTONE CA,5632,WM Supercenter,Retail,1,1804 EAST ASHLAN AVENUE,FRESNO,FRESNO,CA,93726-0000,2,Open,,Y,Y,5632,No,,No,
16765,CLOVIS SHAW CA,5633,Neighborhood Market,Retail,1,1830 SHAW AVE,CLOVIS,FRESNO,CA,93611-0000,2,Open,,Y,Y,5633,No,,No,Available
16766,FRESNO WILLOW CA,5634,Neighborhood Market,Retail,1,6855 N WILLOW AVE,FRESNO,FRESNO,CA,93710-0000,2,Open,,Y,Y,5634,No,,No,
16767,VISALIA NW CA,5635,Neighborhood Market,Retail,1,1320 N DEMAREE ST,VISALIA,TULARE,CA,93291-7714,2,Open,,Y,Y,5635,No,,Yes,
16769,OCEANSIDE MISSION CA,5637,Neighborhood Market,Retail,1,1046 MISSION AVENUE,OCEANSIDE,SAN DIEGO,CA,92054-0000,2,Open,,Y,Y,5637,No,Available,No,Available
16770,SHERMAN HEIGHTS CA,5638,Neighborhood Market,Retail,1,2121 IMPERIAL AVENUE,SAN DIEGO,SAN DIEGO,CA,92102-3826,2,Open,,Y,Y,5638,No,,Yes,
16771,GARDEN GROVE CA,5639,Neighborhood Market,Retail,1,10912 KATELLA AVE,GARDEN GROVE,ORANGE,CA,92804-6134,2,Open,,Y,Y,5639,No,,No,
16772,"OKLAHOMA CITY(W), OK",564,WM Supercenter,Retail,1,6100 W RENO AVE,OKLAHOMA CITY,OKLAHOMA,OK,73127-6507,5,Open,,Y,Y,564,No,Available,Yes,Available
16773,ANAHEIM CA,5640,Neighborhood Market,Retail,1,1120 S ANAHEIM BLVD,ANAHEIM,ORANGE,CA,92805-5810,2,Open,,Y,Y,5640,No,,Yes,
16774,LA HABRA CA,5641,WM Supercenter,Retail,1,1000 E IMPERIAL HWY,LA HABRA,ORANGE,CA,90631-7452,2,Open,,Y,Y,5641,No,Available,Yes,Available
16776,OXNARD CA,5643,Neighborhood Market,Retail,1,421 W ESPLANADE DR,OXNARD,VENTURA,CA,93036-1298,2,Open,,Y,Y,5643,No,,No,
16777,IRVINE N CA,5644,WM Supercenter,Retail,1,"16555 VON KARMAN AVE, STE A",IRVINE,ORANGE,CA,92606-4928,2,Open,,Y,Y,5644,No,,No,
16778,CHICAGO LINCOLN IL,5645,Neighborhood Market,Retail,1,2844 N BROADWAY ST,CHICAGO,COOK,IL,60657-6017,2,Open,,Y,Y,5645,No,,No,
16779,CHICAGO CERMAK IL,5646,Neighborhood Market,Retail,1,2551 W CERMAK RD,CHICAGO,COOK,IL,60608-3719,2,Open,,Y,Y,5646,No,Not Available,No,Not Available
16782,WARRINGTON PA,5649,WM Supercenter,Retail,1,299 VALLEY GATE DRIVE,WARRINGTON,BUCKS,PA,18976-0000,2,Open,,Y,Y,5649,No,Not Available,No,Not Available
16783,CORSICANA TX,565,WM Supercenter,Retail,1,3801 W STATE HIGHWAY 31,CORSICANA,NAVARRO,TX,75110-9211,5,Open,,Y,Y,565,Yes,Available,Yes,Available
16787,ORANGE BEACH AL,5653,Neighborhood Market,Retail,1,25241 PERDIDO BEACH BLVD STE W,ORANGE BEACH,BALDWIN,AL,36561-3102,2,Open,,Y,Y,5653,No,,Yes,
16788,TAMPA HIMES FL,5654,Neighborhood Market,Retail,1,3671 W HILLSBOROUGH AVE,TAMPA,HILLSBOROUGH,FL,33614-0000,2,Open,,Y,Y,5654,No,,No,
16791,PLANO TX,5657,Neighborhood Market,Retail,1,3100 CUSTER RD,PLANO,COLLIN,TX,75075-2060,2,Open,,Y,Y,5657,No,,No,Available
16792,SANTA MARIA BRADLEY CA,5658,Neighborhood Market,Retail,1,2240 S BRADLEY RD,SANTA MARIA,SANTA BARBARA,CA,93454-1348,2,Open,,Y,Y,5658,Yes,,Yes,
16793,SANTA MARIA BLOSSER CA,5659,Neighborhood Market,Retail,1,500 S BLOSSER RD,SANTA MARIA,SANTA BARBARA,CA,93458-0000,2,Open,,Y,Y,5659,No,,No,
16794,BOONVILLE IN,566,WM Supercenter,Retail,1,1115 AMERICAN WAY,BOONVILLE,WARRICK,IN,47601-8604,5,Open,,Y,Y,566,No,Available,No,Available
16796,LA MIRADA CA,5661,Neighborhood Market,Retail,1,14865 TELEGRAPH ROAD,LA MIRADA,LOS ANGELES,CA,90638-0000,2,Open,,Y,Y,5661,No,,No,
16798,PEDLEY CA,5663,Neighborhood Market,Retail,1,8844 LIMONITE AVENUE,JURUPA VALLEY,RIVERSIDE,CA,92509-0000,2,Open,,Y,Y,5663,No,,No,
16799,CAMARILLO CA,5664,Neighborhood Market,Retail,1,275 WEST VENTURA BLVD,CAMARILLO,VENTURA,CA,93010-8359,2,Open,,Y,Y,5664,No,,No,
16802,SOUTH MILWAUKEE WI,5667,WM Supercenter,Retail,1,222 N CHICAGO AVE,SOUTH MILWAUKEE,MILWAUKEE,WI,53172-0000,2,Open,,Y,Y,5667,No,,No,Available
16803,GREENDALE WI,5668,WM Supercenter,Retail,1,5301 S. 76TH ST,GREENDALE,MILWAUKEE,WI,53129-1128,2,Open,,Y,Y,5668,No,Not Available,No,Not Available
16804,WEST MILWAUKEE WI,5669,WM Supercenter,Retail,1,4140 W GREENFIELD AVE,WEST MILWAUKEE,MILWAUKEE,WI,53215-1334,2,Open,,Y,Y,5669,No,,Yes,Available
16805,CALDWELL TX,567,Wal-Mart,Retail,1,475 STATE HIGHWAY 36 N,CALDWELL,BURLESON,TX,77836-7552,2,Open,,Y,Y,567,No,,Yes,
16806,CLEARWATER BELCHER FL,5670,Neighborhood Market,Retail,1,2171 GULF TO BAY BLVD. BUILDING #10,CLEARWATER,PINELLAS,FL,33765-0000,2,Open,,Y,Y,5670,No,,No,Available
16807,NARANJA FL,5671,WM Supercenter,Retail,1,13600 SW 288TH ST,HOMESTEAD,MIAMI-DADE,FL,33033-1905,2,Open,,Y,Y,5671,No,,No,Available
16808,LUCAS TX,5672,WM Supercenter,Retail,1,2662 W LUCAS RD,LUCAS,COLLIN,TX,75002-0000,2,Open,,Y,Y,5672,No,Available,No,Available
16809,SACHSE TX,5673,WM Supercenter,Retail,1,8015 WOODBRIDGE PARKWAY,SACHSE,DALLAS,TX,75048-0000,2,Open,,Y,Y,5673,No,,No,Not Available
16811,ALBUQUERQUE MENAUL NM,5675,Neighborhood Market,Retail,1,11001 MENAUL BLVD NE,ALBUQUERQUE,BERNALILLO,NM,87112-2432,2,Open,,Y,Y,5675,No,,No,
16812,DENVER FEDERAL CO,5676,WM Supercenter,Retail,1,2770 W EVANS AVE,DENVER,DENVER,CO,80219-0000,2,Open,,Y,Y,5676,No,Available,No,Available
16814,LYNNWOOD WA,5678,Neighborhood Market,Retail,1,17222 HIGHWAY 99,LYNNWOOD,SNOHOMISH,WA,98037-3170,2,Open,,Y,Y,5678,No,Available,No,Available
16816,CARTHAGE TN,568,WM Supercenter,Retail,1,125 MYERS ST,CARTHAGE,SMITH,TN,37030-1174,5,Open,,Y,Y,568,No,,No,
16820,ELK GROVE EG BLVD CA,5683,Neighborhood Market,Retail,1,8455 ELK GROVE BLVD,ELK GROVE,SACRAMENTO,CA,95758-9573,2,Open,,Y,Y,5683,No,Available,No,Available
16821,LA MESA CA,5684,Neighborhood Market,Retail,1,8810 GROSSMONT BLVD,LA MESA,SAN DIEGO,CA,91942-9027,2,Open,,Y,Y,5684,No,Not Available,No,Not Available
16823,BURBANK CA,5686,WM Supercenter,Retail,1,1301 N VICTORY PL,BURBANK,LOS ANGELES,CA,91502-1649,2,Open,,Y,Y,5686,No,Available,No,Available
16824,IRVINE CA,5687,WM Supercenter,Retail,1,71 TECHNOLOGY DR,IRVINE,ORANGE,CA,92618-2346,2,Open,,Y,Y,5687,No,,No,
16826,PALMDALE R VISTA CA,5689,Neighborhood Market,Retail,1,3875 RANCHO VISTA BOULEVARD,PALMDALE,LOS ANGELES,CA,93551-0000,2,Open,,Y,Y,5689,No,,No,Available
16827,COLUMBIA KY,569,WM Supercenter,Retail,1,2988 BURKESVILLE RD,COLUMBIA,ADAIR,KY,42728-5534,5,Open,,Y,Y,569,No,,Yes,
16829,UPLAND CA,5691,Neighborhood Market,Retail,1,1445 EAST FOOTHILL BLVD,UPLAND,SAN BERNARDINO,CA,91786-4054,2,Open,,Y,Y,5691,No,,No,Not Available
16830,SPRINGFIELD MO,5692,Neighborhood Market,Retail,1,3150 W REPUBLIC RD,SPRINGFIELD,GREENE,MO,65810-0000,2,Open,,Y,Y,5692,No,,No,
16831,SPRINGFIELD MO,5693,Neighborhood Market,Retail,1,1320 S GLENSTONE AVE,SPRINGFIELD,GREENE,MO,65804-0302,2,Open,,Y,Y,5693,No,,No,
16833,MOUNT PLEASANT WI,5695,Neighborhood Market,Retail,1,5625 WASHINGTON AVE,MOUNT PLEASANT,RACINE,WI,53406-4015,2,Open,,Y,Y,5695,No,Available,No,Available
16835,MILWAUKEE WI,5697,Neighborhood Market,Retail,1,7025 W MAIN ST,MILWAUKEE,MILWAUKEE,WI,53214-0000,2,Open,,Y,Y,5697,No,,No,
16838,WALNUT RIDGE AR,57,Wal-Mart,Retail,1,1600 W MAIN ST,WALNUT RIDGE,LAWRENCE,AR,72476-9401,5,Open,,Y,Y,57,No,,Yes,
