CountyFIPS,state,county,veg_acrespth12
16085,ID,Valley,1.5771213
16087,ID,Washington,142.16028
17001,IL,Adams,2.0100055
17003,IL,Alexander,.77800828
17005,IL,Bond,.34273964
17007,IL,Boone,16.085293
17011,IL,Bureau,14.618521
17013,IL,Calhoun,18.706469
17017,IL,Cass,51.901566
17019,IL,Champaign,.28910232
17021,IL,Christian,3.3308232
17023,IL,Clark,.79754603
17027,IL,Clinton,.18393946
17029,IL,Coles,.45002812
17031,IL,Cook,.12976117
17035,IL,Cumberland,6.2145858
17037,IL,DeKalb,21.551683
17041,IL,Douglas,1.2613522
17045,IL,Edgar,1.2112536
17049,IL,Effingham,1.7461149
17051,IL,Fayette,4.6557879
17057,IL,Fulton,.73728186
17065,IL,Hamilton,1.0761689
17071,IL,Henderson,52.900299
17073,IL,Henry,17.709705
17077,IL,Jackson,1.5263033
17085,IL,Jo Daviess,4.7065091
17089,IL,Kane,2.2612295
17091,IL,Kankakee,30.038588
17093,IL,Kendall,5.6100035
17095,IL,Knox,.2868343
17097,IL,Lake,.5559563
17099,IL,LaSalle,61.722176
17101,IL,Lawrence,19.071608
17103,IL,Lee,110.27254
17105,IL,Livingston,.46726546
17109,IL,McDonough,.80000001
17111,IL,McHenry,6.1636486
17113,IL,McLean,1.1471677
17115,IL,Macon,.20889531
17117,IL,Macoupin,1.0809665
17119,IL,Madison,7.2587023
17121,IL,Marion,1.9016781
17123,IL,Marshall,19.957642
17125,IL,Mason,562.43463
17127,IL,Massac,1.1221122
17129,IL,Menard,.55018473
17133,IL,Monroe,7.3207321
17135,IL,Montgomery,.27019724
17137,IL,Morgan,1.0181571
17139,IL,Moultrie,6.2775478
17141,IL,Ogle,21.71526
17143,IL,Peoria,10.75809
17145,IL,Perry,.77756941
17147,IL,Piatt,1.3316386
17149,IL,Pike,9.1596479
17157,IL,Randolph,.090942159
17161,IL,Rock Island,2.5793262
17163,IL,St. Clair,2.2780147
17165,IL,Saline,.76094359
17167,IL,Sangamon,.88812619
17175,IL,Stark,24.583263
17177,IL,Stephenson,.36217219
17179,IL,Tazewell,50.35041
17181,IL,Union,38.236797
17183,IL,Vermilion,.099004999
17185,IL,Wabash,0
17187,IL,Warren,.16921428
17189,IL,Washington,2.5326853
17193,IL,White,74.053719
17195,IL,Whiteside,132.71611
17197,IL,Will,.44990319
17199,IL,Williamson,.41931233
17201,IL,Winnebago,.20549986
17203,IL,Woodford,15.531937
18001,IN,Adams,3.6306603
18003,IN,Allen,2.144882
18005,IN,Bartholomew,36.009327
18007,IN,Benton,1.9302827
18011,IN,Boone,.74497986
18013,IN,Brown,2.3249636
18015,IN,Carroll,3.1805983
18017,IN,Cass,19.949867
18019,IN,Clark,3.4135182
18021,IN,Clay,.48458642
18023,IN,Clinton,1.2445362
18025,IN,Crawford,3.4745047
18027,IN,Daviess,13.561431
18029,IN,Dearborn,.40197772
18031,IN,Decatur,4.6434875
18033,IN,DeKalb,.85100347
18035,IN,Delaware,7.7621756
18037,IN,Dubois,.42757377
18039,IN,Elkhart,3.7494543
18043,IN,Floyd,1.4730277
18047,IN,Franklin,1.2617474
18049,IN,Fulton,10.216434
18051,IN,Gibson,23.557793
18053,IN,Grant,12.336049
18055,IN,Greene,.57554829
18057,IN,Hamilton,.5142169
18059,IN,Hancock,1.216941
18061,IN,Harrison,6.0151529
18063,IN,Hendricks,.21233253
18065,IN,Henry,12.849661
18069,IN,Huntington,.35141784
18071,IN,Jackson,14.059304
18073,IN,Jasper,2.6883326
18077,IN,Jefferson,.24601759
18079,IN,Jennings,1.0642449
18081,IN,Johnson,.27162746
18083,IN,Knox,207.43311
18085,IN,Kosciusko,14.624404
18087,IN,LaGrange,47.982349
18089,IN,Lake,1.7396876
18091,IN,LaPorte,29.247547
18093,IN,Lawrence,.73855245
18095,IN,Madison,8.014801
18097,IN,Marion,.44299415
18099,IN,Marshall,2.2344229
18103,IN,Miami,.08219403
18105,IN,Monroe,.084911264
18107,IN,Montgomery,.83839864
18109,IN,Morgan,1.0838933
18111,IN,Newton,1.777841
18113,IN,Noble,1.4124889
18117,IN,Orange,.35547429
18119,IN,Owen,1.9660161
18121,IN,Parke,19.652571
18125,IN,Pike,.86078721
18127,IN,Porter,3.8307242
18129,IN,Posey,1.6783763
18131,IN,Pulaski,.61241674
18133,IN,Putnam,.85000134
18137,IN,Ripley,6.4755507
18141,IN,St. Joseph,1.7784514
18143,IN,Scott,1.893541
18145,IN,Shelby,7.7753487
18147,IN,Spencer,.3355222
18151,IN,Steuben,1.5806112
18153,IN,Sullivan,52.839973
18155,IN,Switzerland,.96181589
18157,IN,Tippecanoe,1.7093921
18159,IN,Tipton,49.275177
18163,IN,Vanderburgh,.96763134
18165,IN,Vermillion,0
18167,IN,Vigo,.68143725
18169,IN,Wabash,1.8190227
18171,IN,Warren,0
18173,IN,Warrick,.26454589
18175,IN,Washington,9.9183617
18177,IN,Wayne,.77613604
18179,IN,Wells,1.3715936
18181,IN,White,2.8694406
18183,IN,Whitley,1.1415868
19001,IA,Adair,.80128205
19005,IA,Allamakee,4.5316153
19007,IA,Appanoose,2.1264865
19011,IA,Benton,2.7079303
19013,IA,Black Hawk,1.6852142
19015,IA,Boone,4.6876788
19017,IA,Bremer,.44973221
19025,IA,Calhoun,1.0084711
19027,IA,Carroll,.48367593
19029,IA,Cass,.87450808
19031,IA,Cedar,1.4676306
19033,IA,Cerro Gordo,3.1340075
19037,IA,Chickasaw,7.7348967
19043,IA,Clayton,.50206405
19045,IA,Clinton,.30788809
19049,IA,Dallas,2.7560418
19051,IA,Davis,4.1431694
19055,IA,Delaware,1.2519206
19057,IA,Des Moines,.49678332
19061,IA,Dubuque,.46205384
19065,IA,Fayette,.62457961
19067,IA,Floyd,2.1731031
19069,IA,Franklin,.95029932
19071,IA,Fremont,3.9199216
19079,IA,Hamilton,2.0878189
19083,IA,Hardin,7.6498332
19085,IA,Harrison,.75747144
19087,IA,Henry,.49842995
19089,IA,Howard,5.7411275
19097,IA,Jackson,4.4180379
19099,IA,Jasper,1.8330051
19101,IA,Jefferson,2.2743177
19103,IA,Johnson,1.8258437
19105,IA,Jones,.48529553
19107,IA,Keokuk,1.0578958
19109,IA,Kossuth,77.218567
19111,IA,Lee,.84248364
19113,IA,Linn,1.1518757
19115,IA,Louisa,117.82877
19117,IA,Lucas,14.852051
19123,IA,Mahaska,1.4278703
19125,IA,Marion,.66042268
19127,IA,Marshall,1.0464324
19129,IA,Mills,.74094033
19131,IA,Mitchell,107.09966
19137,IA,Montgomery,0
19139,IA,Muscatine,20.41958
19141,IA,O'Brien,1.4117315
19143,IA,Osceola,0
19145,IA,Page,.50806552
19147,IA,Palo Alto,55.60944
19149,IA,Plymouth,1.2864839
19153,IA,Polk,.299503
19155,IA,Pottawattamie,.64587659
19157,IA,Poweshiek,1.3317708
19161,IA,Sac,.78654999
19163,IA,Scott,.45606387
19165,IA,Shelby,.82767755
19167,IA,Sioux,1.0191306
19169,IA,Story,.56602955
19171,IA,Tama,1.3687693
19173,IA,Taylor,0
19177,IA,Van Buren,2.4148109
19179,IA,Wapello,1.1596334
19181,IA,Warren,2.4692936
19183,IA,Washington,1.5511657
19185,IA,Wayne,2.9869518
19187,IA,Webster,.34847876
19191,IA,Winneshiek,1.9954391
19193,IA,Woodbury,.21487103
19195,IA,Worth,28.047321
20003,KS,Anderson,11.125158
20005,KS,Atchison,.53593761
20007,KS,Barber,0
20011,KS,Bourbon,1.6164882
20015,KS,Butler,.27355623
20019,KS,Chautauqua,0
20021,KS,Cherokee,.28295213
20023,KS,Cheyenne,0
20025,KS,Clark,0
20027,KS,Clay,.58754408
20029,KS,Cloud,1.2772752
20031,KS,Coffey,.70480442
20033,KS,Comanche,0
20035,KS,Cowley,1.2960511
20037,KS,Crawford,.48241717
20041,KS,Dickinson,0
20043,KS,Doniphan,9.6606073
20045,KS,Douglas,1.7659265
20047,KS,Edwards,0
20049,KS,Elk,0
20051,KS,Ellis,0
20055,KS,Finney,84.279945
20059,KS,Franklin,1.8164953
20061,KS,Geary,.28986272
20063,KS,Gove,0
20065,KS,Graham,0
20067,KS,Grant,83.386543
20069,KS,Gray,0
20071,KS,Greeley,0
20077,KS,Harper,0
20079,KS,Harvey,4.738656
20083,KS,Hodgeman,0
20085,KS,Jackson,.67069083
20087,KS,Jefferson,5.236156
20091,KS,Johnson,.15715408
20095,KS,Kingman,.38319069
20099,KS,Labette,.18859918
20101,KS,Lane,0
20103,KS,Leavenworth,.9905448
20107,KS,Linn,0
20109,KS,Logan,0
20111,KS,Lyon,.47701389
20113,KS,McPherson,.23847647
20117,KS,Marshall,0
20121,KS,Miami,5.395463
20123,KS,Mitchell,0
20125,KS,Montgomery,.1160463
20129,KS,Morton,0
20133,KS,Neosho,.7289958
20135,KS,Ness,0
20137,KS,Norton,0
20139,KS,Osage,.37096575
20143,KS,Ottawa,2.6389575
20145,KS,Pawnee,.43484563
20149,KS,Pottawatomie,1.6568153
20153,KS,Rawlins,0
20155,KS,Reno,2.288579
20157,KS,Republic,47.265221
20159,KS,Rice,0
20161,KS,Riley,2.4379056
20163,KS,Rooks,0
20165,KS,Rush,0
20167,KS,Russell,0
20169,KS,Saline,.51919222
20173,KS,Sedgwick,.11504125
20175,KS,Seward,0
20177,KS,Shawnee,1.6591159
20181,KS,Sherman,0
20183,KS,Smith,0
20193,KS,Thomas,.75509691
20197,KS,Wabaunsee,3.7132249
20199,KS,Wallace,0
20201,KS,Washington,9.2511778
20203,KS,Wichita,0
20205,KS,Wilson,.76720738
20209,KS,Wyandotte,.87162638
21001,KY,Adair,1.4447774
21003,KY,Allen,26.581028
21005,KY,Anderson,1.0619632
21007,KY,Ballard,1.204529
21009,KY,Barren,1.5246048
21011,KY,Bath,6.0184793
21013,KY,Bell,1.4207573
21015,KY,Boone,2.4515772
21017,KY,Bourbon,3.8026619
21019,KY,Boyd,.081224874
21021,KY,Boyle,2.1739881
21023,KY,Bracken,.9441756
21025,KY,Breathitt,2.3465571
21027,KY,Breckinridge,1.9919326
21029,KY,Bullitt,.32926798
21031,KY,Butler,.70361972
21033,KY,Caldwell,3.0169413
21037,KY,Campbell,1.0748206
21039,KY,Carlisle,0
21041,KY,Carroll,1.5642252
21043,KY,Carter,2.3315117
21045,KY,Casey,15.864128
21047,KY,Christian,4.9701262
21049,KY,Clark,.67123479
21051,KY,Clay,6.1759925
21053,KY,Clinton,.6828602
21055,KY,Crittenden,8.4324322
21057,KY,Cumberland,3.0616708
21059,KY,Daviess,3.250869
21061,KY,Edmonson,.90646887
21063,KY,Elliott,2.7100272
21065,KY,Estill,.75945872
21067,KY,Fayette,.35348991
21069,KY,Fleming,1.3068299
21071,KY,Floyd,.17884974
21073,KY,Franklin,2.442668
21077,KY,Gallatin,4.5871558
21079,KY,Garrard,2.5364242
21081,KY,Grant,1.5515903
21083,KY,Graves,1.9981883
21085,KY,Grayson,1.9343108
21087,KY,Green,1.3263773
21089,KY,Greenup,3.7055202
21091,KY,Hancock,.34630036
21093,KY,Hardin,.75630254
21097,KY,Harrison,4.6231589
21099,KY,Hart,3.9111304
21101,KY,Henderson,1.4213723
21103,KY,Henry,4.0467334
21105,KY,Hickman,0
21107,KY,Hopkins,.87833929
21109,KY,Jackson,1.653638
21111,KY,Jefferson,.10917161
21113,KY,Jessamine,.82754725
21115,KY,Johnson,1.0671448
21117,KY,Kenton,.19157679
21119,KY,Knott,0
21121,KY,Knox,.91508633
21123,KY,Larue,1.7767038
21125,KY,Laurel,.41975185
21127,KY,Lawrence,6.1276059
21129,KY,Lee,1.9880716
21131,KY,Leslie,0
21133,KY,Letcher,.37606552
21135,KY,Lewis,2.8939371
21137,KY,Lincoln,7.3339615
21139,KY,Livingston,2.3302617
21141,KY,Logan,3.1855488
21143,KY,Lyon,2.2522523
21145,KY,McCracken,2.5453825
21149,KY,McLean,4.8324404
21151,KY,Madison,1.6132071
21153,KY,Magoffin,.84465945
21155,KY,Marion,4.9512377
21157,KY,Marshall,.44765621
21159,KY,Martin,.70505285
21161,KY,Mason,3.4963031
21163,KY,Meade,.81897289
21165,KY,Menifee,7.9164028
21167,KY,Mercer,3.7946219
21169,KY,Metcalfe,5.3058362
21171,KY,Monroe,5.072865
21173,KY,Montgomery,1.525695
21175,KY,Morgan,9.0538034
21177,KY,Muhlenberg,.5421437
21179,KY,Nelson,1.081812
21181,KY,Nicholas,4.1263518
21183,KY,Ohio,.54058552
21185,KY,Oldham,.40228498
21187,KY,Owen,1.3015991
21189,KY,Owsley,27.967548
21191,KY,Pendleton,2.9595981
21193,KY,Perry,.49518958
21197,KY,Powell,.96184677
21199,KY,Pulaski,3.3079202
21201,KY,Robertson,2.2583559
21203,KY,Rockcastle,1.9325368
21205,KY,Rowan,1.2380993
21207,KY,Russell,2.4508407
21209,KY,Scott,3.9345198
21211,KY,Shelby,6.4350653
21213,KY,Simpson,.28444648
